latitude,longitude,zoom,estado
-3.591833,-46.052497,13,Maranhão
-3.591833,-45.872317,13,Maranhão
-3.591833,-45.692137,13,Maranhão
-3.591833,-45.511957,13,Maranhão
-3.591833,-45.331777,13,Maranhão
-3.591833,-45.151596,13,Maranhão
-3.591833,-44.971416,13,Maranhão
-3.591833,-44.791236,13,Maranhão
-3.591833,-44.611056,13,Maranhão
-3.591833,-44.430876,13,Maranhão
-3.591833,-44.250695,13,Maranhão
-3.591833,-44.070515,13,Maranhão
-3.591833,-43.890335,13,Maranhão
-3.591833,-43.710155,13,Maranhão
-3.591833,-43.529975,13,Maranhão
-3.591833,-43.349795,13,Maranhão
-3.591833,-43.169614,13,Maranhão
-3.591833,-42.989434,13,Maranhão
-3.591833,-42.809254,13,Maranhão
-3.591833,-42.629074,13,Maranhão
-3.411653,-46.773218,13,Maranhão
-3.411653,-46.593038,13,Maranhão
-3.411653,-46.412858,13,Maranhão
-3.411653,-46.232677,13,Maranhão
-3.411653,-46.052497,13,Maranhão
-3.411653,-45.872317,13,Maranhão
-3.411653,-45.692137,13,Maranhão
-3.411653,-45.511957,13,Maranhão
-3.411653,-45.331777,13,Maranhão
-3.411653,-45.151596,13,Maranhão
-3.411653,-44.971416,13,Maranhão
-3.411653,-44.791236,13,Maranhão
-3.411653,-44.611056,13,Maranhão
-3.411653,-44.430876,13,Maranhão
-3.411653,-44.250695,13,Maranhão
-3.411653,-44.070515,13,Maranhão
-3.411653,-43.890335,13,Maranhão
-3.411653,-43.710155,13,Maranhão
-3.411653,-43.529975,13,Maranhão
-3.411653,-43.349795,13,Maranhão
-3.411653,-43.169614,13,Maranhão
-3.411653,-42.989434,13,Maranhão
-3.411653,-42.809254,13,Maranhão
-3.411653,-42.629074,13,Maranhão
-3.411653,-42.448894,13,Maranhão
-3.411653,-42.268714,13,Maranhão
-3.231473,-46.773218,13,Maranhão
-3.231473,-46.593038,13,Maranhão
-3.231473,-46.412858,13,Maranhão
-3.231473,-46.232677,13,Maranhão
-3.231473,-46.052497,13,Maranhão
-3.231473,-45.872317,13,Maranhão
-3.231473,-45.692137,13,Maranhão
-3.231473,-45.511957,13,Maranhão
